24,	15,	2,	4,	3
8,	6,	16,	14,	25
7,	13,	12,	18,	23
9,	19,	21,	1,	20
17,	11,	5,	10,	22

9,	6,	2,	14,	21
8,	22,	23,	5,	17
10,	4,	16,	15,	19
18,	3,	24,	11,	13
20,	12,	1,	25,	7

1,	25,	17,	12,	3
7,	15,	8,	23,	5
16,	9,	11,	24,	21
19,	6,	4,	20,	14
22,	10,	13,	2,	18

13,	23,	20,	22,	21
15,	25,	12,	9,	6
18,	10,	11,	3,	4
19,	24,	5,	16,	1
17,	2,	8,	14,	7

20,	3,	21,	25,	14
11,	18,	22,	15,	4
1,	8,	12,	2,	23
16,	7,	9,	5,	24
17,	6,	19,	13,	10

22,	21,	18,	19,	25
3,	11,	5,	2,	17
23,	16,	4,	9,	13
7,	24,	1,	8,	12
10,	6,	14,	15,	20

9,	6,	2,	14,	21
8,	22,	23,	5,	17
10,	4,	16,	15,	19
18,	3,	24,	11,	13
20,	12,	1,	25,	7

3,	13,	4,	25,	19
11,	8,	14,	10,	22
18,	7,	15,	20,	6
24,	12,	1,	23,	5
9,	21,	17,	2,	16

18,	5,	21,	17,	8
12,	7,	15,	23,	14
13,	3,	9,	1,	22
16,	19,	2,	11,	24
6,	4,	25,	10,	20

20,	19,	18,	13,	1
8,	17,	10,	25,	21
22,	5,	16,	3,	7
15,	23,	6,	12,	9
2,	14,	11,	4,	24

8,	15,	14,	21,	19
6,	4,	20,	2,	24
18,	25,	23,	7,	3
22,	10,	5,	13,	1
11,	16,	12,	9,	17

7,	15,	13,	6,	4
22,	2,	24,	21,	16
25,	1,	23,	11,	17
3,	9,	12,	19,	10
8,	18,	5,	20,	14

7,	23,	13,	19,	5
22,	16,	25,	9,	11
1,	3,	18,	15,	17
14,	12,	2,	4,	24
21,	8,	6,	10,	20

24,	15,	2,	4,	3
8,	6,	16,	14,	25
7,	13,	12,	18,	23
9,	19,	21,	1,	20
17,	11,	5,	10,	22

1,	25,	17,	12,	3
7,	15,	8,	23,	5
16,	9,	11,	24,	21
19,	6,	4,	20,	14
22,	10,	13,	2,	18

13,	23,	20,	22,	21
15,	25,	12,	9,	6
18,	10,	11,	3,	4
19,	24,	5,	16,	1
17,	2,	8,	14,	7

20,	3,	21,	25,	14
11,	18,	22,	15,	4
1,	8,	12,	2,	23
16,	7,	9,	5,	24
17,	6,	19,	13,	10

22,	21,	18,	19,	25
3,	11,	5,	2,	17
23,	16,	4,	9,	13
7,	24,	1,	8,	12
10,	6,	14,	15,	20

9,	6,	2,	14,	21
8,	22,	23,	5,	17
10,	4,	16,	15,	19
18,	3,	24,	11,	13
20,	12,	1,	25,	7

3,	13,	4,	25,	19
11,	8,	14,	10,	22
18,	7,	15,	20,	6
24,	12,	1,	23,	5
9,	21,	17,	2,	16

18,	5,	21,	17,	8
12,	7,	15,	23,	14
13,	3,	9,	1,	22
16,	19,	2,	11,	24
6,	4,	25,	10,	20

20,	19,	18,	13,	1
8,	17,	10,	25,	21
22,	5,	16,	3,	7
15,	23,	6,	12,	9
2,	14,	11,	4,	24

8,	15,	14,	21,	19
6,	4,	20,	2,	24
18,	25,	23,	7,	3
22,	10,	5,	13,	1
11,	16,	12,	9,	17

7,	15,	13,	6,	4
22,	2,	24,	21,	16
25,	1,	23,	11,	17
3,	9,	12,	19,	10
8,	18,	5,	20,	14

7,	23,	13,	19,	5
22,	16,	25,	9,	11
1,	3,	18,	15,	17
14,	12,	2,	4,	24
21,	8,	6,	10,	20

24,	15,	2,	4,	3
8,	6,	16,	14,	25
7,	13,	12,	18,	23
9,	19,	21,	1,	20
17,	11,	5,	10,	22

1,	25,	17,	12,	3
7,	15,	8,	23,	5
16,	9,	11,	24,	21
19,	6,	4,	20,	14
22,	10,	13,	2,	18

13,	23,	20,	22,	21
15,	25,	12,	9,	6
18,	10,	11,	3,	4
19,	24,	5,	16,	1
17,	2,	8,	14,	7

20,	3,	21,	25,	14
11,	18,	22,	15,	4
1,	8,	12,	2,	23
16,	7,	9,	5,	24
17,	6,	19,	13,	10

22,	21,	18,	19,	25
3,	11,	5,	2,	17
23,	16,	4,	9,	13
7,	24,	1,	8,	12
10,	6,	14,	15,	20

9,	6,	2,	14,	21
8,	22,	23,	5,	17
10,	4,	16,	15,	19
18,	3,	24,	11,	13
20,	12,	1,	25,	7

3,	13,	4,	25,	19
11,	8,	14,	10,	22
18,	7,	15,	20,	6
24,	12,	1,	23,	5
9,	21,	17,	2,	16

18,	5,	21,	17,	8
12,	7,	15,	23,	14
13,	3,	9,	1,	22
16,	19,	2,	11,	24
6,	4,	25,	10,	20

20,	19,	18,	13,	1
8,	17,	10,	25,	21
22,	5,	16,	3,	7
15,	23,	6,	12,	9
2,	14,	11,	4,	24

8,	15,	14,	21,	19
6,	4,	20,	2,	24
18,	25,	23,	7,	3
22,	10,	5,	13,	1
11,	16,	12,	9,	17

7,	15,	13,	6,	4
22,	2,	24,	21,	16
25,	1,	23,	11,	17
3,	9,	12,	19,	10
8,	18,	5,	20,	14

7,	23,	13,	19,	5
22,	16,	25,	9,	11
1,	3,	18,	15,	17
14,	12,	2,	4,	24
21,	8,	6,	10,	20

24,	15,	2,	4,	3
8,	6,	16,	14,	25
7,	13,	12,	18,	23
9,	19,	21,	1,	20
17,	11,	5,	10,	22

1,	25,	17,	12,	3
7,	15,	8,	23,	5
16,	9,	11,	24,	21
19,	6,	4,	20,	14
22,	10,	13,	2,	18

13,	23,	20,	22,	21
15,	25,	12,	9,	6
18,	10,	11,	3,	4
19,	24,	5,	16,	1
17,	2,	8,	14,	7

20,	3,	21,	25,	14
11,	18,	22,	15,	4
1,	8,	12,	2,	23
16,	7,	9,	5,	24
17,	6,	19,	13,	10

22,	21,	18,	19,	25
3,	11,	5,	2,	17
23,	16,	4,	9,	13
7,	24,	1,	8,	12
10,	6,	14,	15,	20

9,	6,	2,	14,	21
8,	22,	23,	5,	17
10,	4,	16,	15,	19
18,	3,	24,	11,	13
20,	12,	1,	25,	7

3,	13,	4,	25,	19
11,	8,	14,	10,	22
18,	7,	15,	20,	6
24,	12,	1,	23,	5
9,	21,	17,	2,	16

18,	5,	21,	17,	8
12,	7,	15,	23,	14
13,	3,	9,	1,	22
16,	19,	2,	11,	24
6,	4,	25,	10,	20

20,	19,	18,	13,	1
8,	17,	10,	25,	21
22,	5,	16,	3,	7
15,	23,	6,	12,	9
2,	14,	11,	4,	24

8,	15,	14,	21,	19
6,	4,	20,	2,	24
18,	25,	23,	7,	3
